,index,subject_uuid,trial_id,session_start_time,lab_name,task_protocol,trial_response_time,trial_response_choice,trial_stim_on_time,trial_stim_contrast_left,trial_stim_contrast_right,trial_feedback_type,probabilityLeft,subject_nickname,institution_short,signed_contrast,trial,choice,correct,choice_right,choice2,correct_easy,rt,previous_choice,previous_outcome,previous_contrast,previous_choice_name,previous_outcome_name,repeat,institution_code,rchoice,uchoice,6,12,25,100,block,intercept,simulation_prob,task,threshold
189547,523378,18a54f60-534b-4ed5-8bda-b434079b8ab8,27,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,107.563,CW,98.7036,0.0,0.0,1.0,50,KS014,UCL,0.0,27,-1,,0.0,0.0,,8.859400000000008,1.0,1.0,12.5,right,post_correct,False,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.6605641737404705,traini,14.929503884826081
189548,523379,18a54f60-534b-4ed5-8bda-b434079b8ab8,28,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,111.558,CW,111.30059999999999,1.0,0.0,1.0,50,KS014,UCL,-100.0,28,-1,1.0,0.0,0.0,1.0,0.2574000000000183,-1.0,1.0,0.0,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.026149217924616483,traini,14.929503884826081
189549,523380,18a54f60-534b-4ed5-8bda-b434079b8ab8,29,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,114.666,CW,114.4199,0.125,0.0,1.0,50,KS014,UCL,-12.5,29,-1,1.0,0.0,0.0,,0.24609999999999843,-1.0,1.0,100.0,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.08508928991624062,traini,14.929503884826081
189550,523381,18a54f60-534b-4ed5-8bda-b434079b8ab8,30,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,117.808,CW,117.5838,1.0,0.0,1.0,50,KS014,UCL,-100.0,30,-1,1.0,0.0,0.0,1.0,0.2242000000000104,-1.0,1.0,12.5,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.026149217924616483,traini,14.929503884826081
189551,523382,18a54f60-534b-4ed5-8bda-b434079b8ab8,31,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,122.515,CCW,121.8533,0.0,0.125,1.0,50,KS014,UCL,12.5,31,1,1.0,1.0,1.0,,0.6616999999999962,-1.0,1.0,100.0,left,post_correct,False,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.7383300543658898,traini,14.929503884826081
189552,523383,18a54f60-534b-4ed5-8bda-b434079b8ab8,32,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,127.673,CCW,126.9003,0.125,0.0,-1.0,50,KS014,UCL,-12.5,32,1,0.0,1.0,1.0,,0.7727000000000004,1.0,1.0,12.5,right,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.261071514380921,traini,14.929503884826081
189553,523384,18a54f60-534b-4ed5-8bda-b434079b8ab8,33,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,132.625,CCW,132.06950000000003,0.0,0.0,-1.0,50,KS014,UCL,0.0,33,1,,1.0,1.0,,0.5554999999999666,1.0,-1.0,12.5,right,post_error,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.717216149380176,traini,14.929503884826081
189554,523385,18a54f60-534b-4ed5-8bda-b434079b8ab8,34,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,136.652,CCW,136.2167,0.0,0.0625,1.0,50,KS014,UCL,6.25,34,1,1.0,1.0,1.0,,0.4352999999999838,1.0,-1.0,0.0,right,post_error,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.873087252350696,traini,14.929503884826081
189555,523386,18a54f60-534b-4ed5-8bda-b434079b8ab8,35,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,140.166,CW,139.8029,0.0625,0.0,1.0,50,KS014,UCL,-6.25,35,-1,1.0,0.0,0.0,,0.36310000000000286,1.0,1.0,6.25,right,post_correct,False,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.4177463209203398,traini,14.929503884826081
189556,523387,18a54f60-534b-4ed5-8bda-b434079b8ab8,36,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,150.696,CCW,149.76640000000003,0.0,0.125,1.0,50,KS014,UCL,12.5,36,1,1.0,1.0,1.0,,0.9295999999999651,-1.0,1.0,6.25,left,post_correct,False,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.7383300543658898,traini,14.929503884826081
189557,523388,18a54f60-534b-4ed5-8bda-b434079b8ab8,37,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,157.29,CCW,156.536,0.0,0.25,1.0,50,KS014,UCL,25.0,37,1,1.0,1.0,1.0,,0.7539999999999907,1.0,1.0,12.5,right,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.9433094024800716,traini,14.929503884826081
189558,523389,18a54f60-534b-4ed5-8bda-b434079b8ab8,38,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,162.432,CCW,162.1329,0.0,0.0625,1.0,50,KS014,UCL,6.25,38,1,1.0,1.0,1.0,,0.2990999999999815,1.0,1.0,25.0,right,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.8407274461273994,traini,14.929503884826081
189559,523390,18a54f60-534b-4ed5-8bda-b434079b8ab8,39,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,165.638,CCW,165.28580000000002,0.0,0.0625,1.0,50,KS014,UCL,6.25,39,1,1.0,1.0,1.0,,0.3521999999999821,1.0,1.0,6.25,right,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.8407274461273994,traini,14.929503884826081
189560,523391,18a54f60-534b-4ed5-8bda-b434079b8ab8,40,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,171.373,CCW,171.116,0.0,0.25,1.0,50,KS014,UCL,25.0,40,1,1.0,1.0,1.0,,0.2569999999999766,1.0,1.0,6.25,right,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.9433094024800716,traini,14.929503884826081
189561,523392,18a54f60-534b-4ed5-8bda-b434079b8ab8,41,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,177.644,CW,177.2687,0.25,0.0,1.0,50,KS014,UCL,-25.0,41,-1,1.0,0.0,0.0,,0.37530000000000996,1.0,1.0,25.0,right,post_correct,False,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.18540216342048807,traini,14.929503884826081
189562,523393,18a54f60-534b-4ed5-8bda-b434079b8ab8,42,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,181.007,CW,180.66590000000002,1.0,0.0,1.0,50,KS014,UCL,-100.0,42,-1,1.0,0.0,0.0,1.0,0.3410999999999831,-1.0,1.0,25.0,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.026149217924616483,traini,14.929503884826081
189563,523394,18a54f60-534b-4ed5-8bda-b434079b8ab8,43,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,190.64,CW,190.16870000000003,0.125,0.0,1.0,50,KS014,UCL,-12.5,43,-1,1.0,0.0,0.0,,0.47129999999995675,-1.0,1.0,100.0,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.08508928991624062,traini,14.929503884826081
189564,523395,18a54f60-534b-4ed5-8bda-b434079b8ab8,44,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,193.441,CW,193.0157,0.25,0.0,1.0,50,KS014,UCL,-25.0,44,-1,1.0,0.0,0.0,,0.4252999999999929,-1.0,1.0,12.5,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.056525058866658415,traini,14.929503884826081
189565,523396,18a54f60-534b-4ed5-8bda-b434079b8ab8,45,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,202.143,CW,201.8851,0.0,0.0625,-1.0,50,KS014,UCL,6.25,45,-1,0.0,0.0,0.0,,0.25790000000000646,-1.0,1.0,25.0,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.5814995143439406,traini,14.929503884826081
189566,523397,18a54f60-534b-4ed5-8bda-b434079b8ab8,46,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,206.258,CCW,205.89870000000002,0.0,0.0,-1.0,50,KS014,UCL,0.0,46,1,,1.0,1.0,,0.3592999999999904,-1.0,-1.0,6.25,left,post_error,False,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.2821555855089851,traini,14.929503884826081
189567,523398,18a54f60-534b-4ed5-8bda-b434079b8ab8,47,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,210.727,CCW,210.43470000000002,0.0,0.0625,1.0,50,KS014,UCL,6.25,47,1,1.0,1.0,1.0,,0.29229999999998313,1.0,-1.0,0.0,right,post_error,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.873087252350696,traini,14.929503884826081
189568,523399,18a54f60-534b-4ed5-8bda-b434079b8ab8,48,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,215.309,CCW,215.04870000000003,0.0,1.0,1.0,50,KS014,UCL,100.0,48,1,1.0,1.0,1.0,1.0,0.26029999999997244,1.0,1.0,6.25,right,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.973771728758393,traini,14.929503884826081
189569,523400,18a54f60-534b-4ed5-8bda-b434079b8ab8,49,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,218.221,CCW,217.9512,0.0,0.25,1.0,50,KS014,UCL,25.0,49,1,1.0,1.0,1.0,,0.2698000000000036,1.0,1.0,100.0,right,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.9433094024800716,traini,14.929503884826081
